"ID";"Month";"Year";"Age";"Gender";"HHIncome";"HHSize";"RelationshipL";"DM";"TV_Adv";"Facebook_Adv";"Publicity";"Web_Visits";"Facebook_Page_Views"
10569;2;2013;44;"Female";36943;2;2;0;0;29589.8443095443;28;6857;446
10569;3;2013;44;"Female";36943;2;3;1;0;40616.310095759;44;9088;363
10569;4;2013;44;"Female";36943;2;4;1;0;24323.0454231263;43;7824;253
10569;5;2013;44;"Female";36943;2;5;0;0;33204.8954039564;62;9024;415
10569;6;2013;44;"Female";36943;2;6;1;13386.25;28284.4727852959;32;9568;333
10569;7;2013;44;"Female";36943;2;7;0;1160;40060.9718232836;33;8450;396
10569;8;2013;44;"Female";36943;2;8;1;16848;13607.0519158419;28;5888;363
10569;9;2013;44;"Female";36943;2;9;0;18998;24964.4842183003;27;3844;330
10569;10;2013;44;"Female";36943;2;10;1;0;15014.7595014839;47;6772;323
10569;11;2013;44;"Female";36943;2;11;0;42229.6;6394.38493375176;24;5467;326
10569;12;2013;44;"Female";36943;2;12;1;57048.64;53578.7239213706;58;10177;399
10569;1;2014;45;"Female";36943;2;13;0;0;42228.9838713102;50;6876;349
10569;2;2014;45;"Female";36943;2;14;1;0;2140.77355458183;46;8727;339
10569;3;2014;45;"Female";36943;2;15;1;5700;6052.41461768391;59;9710;327
10569;4;2014;45;"Female";36943;2;16;0;0;9095.19581736356;36;5840;423
10569;5;2014;45;"Female";36943;2;17;0;0;44708.202627986;77;9844;379
10569;6;2014;45;"Female";36943;2;18;1;13386.25;50995.9161147744;42;8588;331
10569;7;2014;45;"Female";36943;2;19;1;14600;9026.25141029171;24;7657;371
10569;8;2014;45;"Female";36943;2;20;1;0;614.375570992743;33;8779;275
10569;9;2014;45;"Female";36943;2;21;0;0;47530.3859284607;30;9293;289
10569;10;2014;45;"Female";36943;2;22;1;0;10678.3193221821;30;5098;376
10569;11;2014;45;"Female";36943;2;23;1;0;3896.59680770334;39;8425;461
10569;12;2014;45;"Female";36943;2;24;0;27380;18118.8266563319;39;9746;278
10569;1;2015;46;"Female";36943;2;25;1;0;38532.0171516032;38;10222;327
10569;2;2015;46;"Female";36943;2;26;0;0;51579.8067392421;49;6945;365
10569;3;2015;46;"Female";36943;2;27;1;0;1118.87318520266;41;3412;366
10569;4;2015;46;"Female";36943;2;28;0;9150;69292.630943759;55;6929;302
10569;5;2015;46;"Female";36943;2;29;1;0;18241.7418717968;59;7173;262
10569;6;2015;46;"Female";36943;2;30;0;0;49719.7574753742;63;8738;304
10569;7;2015;46;"Female";36943;2;31;0;19070;47488.6049006049;25;6930;352
10569;8;2015;46;"Female";36943;2;32;0;0;35483.3014777516;22;11395;387
10569;9;2015;46;"Female";36943;2;33;1;8140;5509.8459358022;33;9390;382
10569;10;2015;46;"Female";36943;2;34;1;0;49471.0682624577;71;6209;422
10569;11;2015;46;"Female";36943;2;35;0;21819;74380.6188867451;49;7930;350
10569;12;2015;46;"Female";36943;2;36;1;36769.5;58705.3574021151;53;8402;346
10569;1;2016;47;"Female";36943;2;37;0;0;24281.4107026485;34;7033;407
10569;2;2016;47;"Female";36943;2;38;1;8700;18520.7264169989;26;6620;309
10569;3;2016;47;"Female";36943;2;39;0;17400;25028.0737109892;52;6358;351
10569;4;2016;47;"Female";36943;2;40;1;0;48187.0989529063;33;6748;288
10569;5;2016;47;"Female";36943;2;41;1;29701.96;54227.3192357677;45;5514;374
10569;6;2016;47;"Female";36943;2;42;0;1084.84;66097.007538868;39;10133;331
10569;7;2016;47;"Female";36943;2;43;1;0;25796.061078224;24;10657;399
10569;8;2016;47;"Female";36943;2;44;0;19910;22261.3143144508;33;9183;437
10569;9;2016;47;"Female";36943;2;45;1;0;21921.0471767684;43;6639;350
10569;10;2016;47;"Female";36943;2;46;1;17450;37995.911262972;44;7929;306
10569;11;2016;47;"Female";36943;2;47;0;19910;24464.1517851706;53;8398;370
10569;12;2016;47;"Female";36943;2;48;1;145994.75;11845.6273951282;34;9045;372
10569;1;2017;48;"Female";36943;2;49;0;20910;81416.4143602697;27;9534;427
10569;2;2017;48;"Female";36943;2;50;0;0;47509.3016947455;21;6211;334
10569;3;2017;48;"Female";36943;2;51;0;0;16938.2704950572;38;5756;353
10569;4;2017;48;"Female";36943;2;52;0;6865;3799.9311901842;50;6647;363
10569;5;2017;48;"Female";36943;2;53;1;20595;8586.72601455953;51;8243;410
10569;6;2017;48;"Female";36943;2;54;0;0;36024.8735157126;42;8930;342
10569;7;2017;48;"Female";36943;2;55;0;0;3011.66439360138;30;4039;381
10569;8;2017;48;"Female";36943;2;56;0;20910;8212.83868566212;28;6634;409
10569;9;2017;48;"Female";36943;2;57;0;0;50764.7553250582;27;4047;379
10569;10;2017;48;"Female";36943;2;58;1;0;46179.8882039977;35;9176;337
10569;11;2017;48;"Female";36943;2;59;0;0;41439.7639370569;47;13060;293
10569;12;2017;48;"Female";36943;2;60;1;17180;13117.7915947986;26;9352;360
